,명사,빈도
762,섭종함,1
763,최고,25
764,아마추어,2
765,최하,3
766,파티,3
767,명끼,1
768,악용,3
769,롤로,1
770,치면,10
771,아이언,3
772,린,58
773,제도,4
774,상향,16
775,평준화,2
776,넘빡쏌,1
777,뭔가,21
778,따리,13
779,그것,8
780,관계,3
781,사바,1
782,항상,18
783,봄,29
784,대표,6
785,차단,5
786,어플,3
787,관리,5
788,둘중에하나,1
789,손,35
790,어캐이김,1
791,판이,17
792,때매,5
793,편이,4
794,나머지,7
795,얘기,51
796,주관,6
797,뇌피셜,4
798,어차피,35
799,유도,7
800,지게,4
801,존재,15
802,사서,17
803,이유,103
804,좀더,11
805,도달,5
806,갈수,3
807,격수,8
808,능력,35
809,가정,17
810,에이,1
811,치가,8
812,뿐,15
813,록,2
814,설계,7
815,평소,11
816,도록,3
817,발휘,1
818,값어치,2
819,해논판,1
820,너프,13
821,구현,18
822,전이,3
823,뜻,9
824,누가,31
825,예전,16
826,아파트,1
827,확신,5
828,난후,1
829,전화,2
830,물어,1
831,주말,14
832,저녁,13
833,시간대,4
834,다그,1
835,어땟,1
836,도저히,10
837,비등,4
838,값,3
839,겨,3
840,상대로,9
841,도출,1
842,무언가,4
843,장치,5
844,누군가,10
845,은피,1
846,단어,3
847,랭커,8
848,프로게이머,12
849,주더,1
850,극단,7
851,이진,1
852,납득,8
853,무기,2
854,놨단,1
855,피파온라인,40
856,뭐시기,3
857,확인,23
858,패배,7
859,인터넷,11
860,친선경기,7
861,팁,8
862,원격,1
863,도우미,2
864,앱,6
865,역,6
866,힙니,1
867,보시,9
868,검증,2
869,초반,11
870,물개,3
871,오각형,1
872,덕분,4
873,기반,29
874,포메,11
875,입맛,2
876,조정,19
877,약,7
878,상위,49
879,유지,37
880,해당,25
881,구간,28
882,군용,1
883,포,15
884,중미,3
885,명일,2
886,답,20
887,기용,1
888,방식,19
889,마찬가지,18
890,윙어,8
891,가담,1
892,처럼,13
893,아센,1
894,시오,1
895,아무,8
896,볼,52
897,에시앙,3
898,활동,4
899,량,1
900,카제,1
901,고레츠카,1
902,비에이라,2
903,피지,8
904,컬맨,1
905,추천,17
906,스태미너,1
907,적극,2
908,별로,27
909,정답,5
910,최종,3
911,목표,6
912,주차,15
913,역시,12
914,마무리,21
915,승하,3
916,닉네임,13
917,밥,6
918,묵자,1
919,노잼,4
920,제라,2
921,이하,8
922,감,20
923,슈퍼,9
924,챔피언스,23
925,월드,8
926,제인,1
927,질문,14
928,집,14
929,일주일,8
930,번은,6
931,속도,13
932,체크,11
933,업,12
934,다운로드,4
935,변화,5
936,근처,2
937,빡매칭,1
938,디코,14
939,재접,4
940,열,13
941,역대,9
